State,Confirmed,Active,Recovered,Deaths,recovery%,death%
Rajasthan,953954,180,944820,8954, 99.04 , 0.94 
Bihar,725497,212,715635,9649, 98.64 , 1.33 
Maharashtra,6396805,62452,6195744,135139, 96.86 , 2.11 
West Bengal,1539065,9832,1510921,18312, 98.17 , 1.19 
Punjab,599972,557,583071,16344, 97.18 , 2.72 
Delhi,1437118,467,1411582,25069, 98.22 , 1.74 
Goa,172568,873,168519,3176, 97.65 , 1.84 
Karnataka,2930529,22048,2871448,37007, 97.98 , 1.26 
Telangana,652785,7093,641847,3845, 98.32 , 0.59 
Kerala,3702417,172250,3510909,18743, 94.83 , 0.51 
Assam,580657,7707,566101,5502, 97.49 , 0.95 
Andhra Pradesh,1994606,17218,1963728,13660, 98.45 , 0.68 
Arunachal Pradesh,51513,1836,49425,252, 95.95 , 0.49 
Chhattisgarh,1003814,1138,989128,13548, 98.54 , 1.35 
Gujarat,825196,184,814934,10078, 98.76 , 1.22 
Himachal Pradesh,210419,2695,204167,3535, 97.03 , 1.68 
Jharkhand,347620,236,342253,5131, 98.46 , 1.48 
Madhya Pradesh,792043,94,781434,10515, 98.66 , 1.33 
Manipur,108545,6270,100559,1716, 92.64 , 1.58 
Meghalaya,72160,3761,67164,1235, 93.08 , 1.71 
Mizoram,48711,8880,39647,184, 81.39 , 0.38 
Nagaland,29195,1153,26601,605, 91.11 , 2.07 
Odisha,995433,9020,979407,7006, 98.39 , 0.70 
Tamil Nadu,2590632,20370,2535715,34547, 97.88 , 1.33 
Tripura,81308,1538,78929,778, 97.07 , 0.96 
Uttar Pradesh,1708965,419,1685761,22785, 98.64 , 1.33 
Uttarakhand,342606,342,328844,7371, 95.98 , 2.15 
Sikkim,28726,2068,26018,361, 90.57 , 1.26 
