malegaon,Clear,clear sky,28.71 °C,21 %,2.9 m/s,07:10:15,18:09:22,06:06,12:40,15:48,18:10,19:14
pune,Clouds,broken clouds,26.77 °C,44 %,1.48 m/s,07:09:21,18:15:42,06:06,12:43,15:53,18:16,19:20
mumbai,Clouds,few clouds,25.59 °C,58 %,5.87 m/s,07:14:15,18:18:51,06:10,12:47,15:57,18:19,19:23
japan,Clear,clear sky,7.39 °C,41 %,1.47 m/s,06:50:46,16:46:57,05:36,11:49,14:28,16:48,18:03
usa,Clouds,overcast clouds,27.39 °C,43 %,2.71 m/s,06:31:38,18:49:31,05:30,12:41,16:06,18:50,19:51
kuwait,Clouds,broken clouds,18.05 °C,33 %,3.52 m/s,06:43:34,17:08:33,05:34,11:56,14:49,17:09,18:19
russia,Clouds,broken clouds,-38.79 °C,100 %,1.98 m/s,09:12:32,15:43:18,06:58,12:28,13:30,15:45,17:59
china,Clouds,overcast clouds,10.8 °C,30 %,2.06 m/s,07:24:59,18:05:08,06:18,12:45,15:45,18:06,19:13
afganistan,Clear,clear sky,0.1 °C,28 %,1.91 m/s,07:09:25,17:18:29,05:57,12:14,15:00,17:19,18:32
iran,Clear,clear sky,12.46 °C,36 %,2.65 m/s,06:59:09,17:12:46,05:48,12:06,14:54,17:13,18:25
iraq,Clouds,few clouds,18.66 °C,25 %,9.57 m/s,07:07:24,17:16:32,05:55,12:12,14:58,17:17,18:30
dubai,Clear,clear sky,24.28 °C,45 %,3.17 m/s,07:05:58,17:47:31,05:59,12:27,15:28,17:48,18:55
riyadh,Clouds,few clouds,22.11 °C,25 %,5.46 m/s,06:39:12,17:22:58,05:33,12:01,15:02,17:24,18:30
germany,Snow,light snow,-0.64 °C,91 %,2.65 m/s,08:19:15,16:32:46,06:38,12:26,14:14,16:34,18:15
canada,Clouds,scattered clouds,13.82 °C,46 %,2.79 m/s,08:20:35,18:01:58,07:02,13:12,15:43,18:03,19:21
pakistan,Clouds,broken clouds,10.11 °C,15 %,2.07 m/s,07:16:48,17:39:05,06:07,12:28,15:20,17:40,18:50
england,Clouds,few clouds,-1.83 °C,72 %,2.8 m/s,07:14:49,17:17:10,06:01,12:16,14:59,17:18,18:32
oman,Clear,clear sky,25.98 °C,30 %,2.69 m/s,06:51:12,17:48:43,05:47,12:20,15:27,17:49,18:54
kazakistan,Clouds,few clouds,-10.54 °C,93 %,2.92 m/s,08:14:52,16:57:01,06:42,12:36,14:38,16:58,18:31
busra,Clouds,few clouds,35.44 °C,9 %,1.54 m/s,06:32:24,18:06:45,05:31,12:20,15:39,18:07,19:09
iznik,Clouds,overcast clouds,2.28 °C,87 %,3.66 m/s,08:23:16,17:54:56,07:03,13:09,15:36,17:56,19:16
sugot,Snow,light snow,-14.42 °C,96 %,2.65 m/s,10:05:29,17:06:33,08:02,13:36,14:51,17:08,19:12
turkey,Clouds,overcast clouds,2.6 °C,95 %,2.34 m/s,07:58:44,17:37:56,06:40,12:49,15:19,17:39,18:57
sharja,Clear,clear sky,23.21 °C,49 %,3.02 m/s,07:05:46,17:46:56,05:59,12:27,15:27,17:48,18:54
gaza,Clear,clear sky,17.74 °C,46 %,9.62 m/s,06:42:11,16:58:03,05:31,11:50,14:39,16:59,18:10
greenland,Clouds,few clouds,-2.97 °C,49 %,5.97 m/s,07:13:05,16:29:46,05:49,11:52,14:11,16:31,17:55
iceland,Clouds,overcast clouds,-7.15 °C,93 %,6.69 m/s,10:58:05,15:41:59,08:04,13:20,13:44,15:44,18:37
antarctica,Clouds,scattered clouds,-21.94 °C,88 %,4.26 m/s,00:00:00,00:00:00,23:03,11:03,16:52,23:03,23:03
